gen,hypervolume,n_solutions
1,2552083.2385730944,100
2,2602750.0383074847,100
3,2896915.3731017504,100
4,3109037.3501258083,100
5,3165005.832482662,100
6,3183022.812216302,100
7,3211117.583863911,100
8,3224204.315184283,100
9,3375480.6316767884,100
10,3379853.016757384,100
11,3385235.5823147474,100
12,3483009.8428846775,100
13,3494765.771330959,100
14,3540858.869178583,100
15,3555793.728564088,100
16,3574436.1005720687,100
17,3592783.0251283636,100
18,3596565.153992122,100
19,3772302.314732942,100
20,3785078.316533424,100
21,3795670.1151957903,100
22,3806160.311422458,100
23,3803512.3365308484,100
24,3827959.1090617543,100
25,3852642.9123721,100
26,3882575.8904730254,100
27,3882599.1986753815,100
28,3901729.1106508775,100
29,3902026.0731253903,100
30,3906382.9779084036,100
31,3913850.1459744195,100
32,3930848.539081475,100
33,3966471.9314318667,100
34,4055631.8085080804,100
35,4057009.4185043583,100
36,4060176.6862034975,100
37,4054256.784319423,100
38,4081505.730554674,100
39,4087274.4113337677,100
40,4091009.0712183975,100
41,4101998.5271753985,100
42,4142233.0348233664,100
43,4146096.1430203817,100
44,4168482.9750883784,100
45,4161478.9957359144,100
46,4167070.382260982,100
47,4191255.195807568,100
48,4210290.063288262,100
49,4208588.314929454,100
50,4392356.623140372,100
51,4378080.673902844,100
52,4387606.586504264,100
53,4411734.97142317,100
54,4396493.94163589,100
55,4409357.145585753,100
56,4420886.320334603,100
57,4424032.677878288,100
58,4525883.812187414,100
59,4529814.503726075,100
60,4540259.494480646,100
61,4533502.1711059315,100
62,4543492.563335191,100
63,4561496.509706108,100
64,4570944.264554776,100
65,4588897.628667893,100
66,4603862.9478801945,100
67,4609045.635956736,100
68,4595623.940440436,100
69,4605473.939353553,100
70,4610116.785931269,100
71,4621412.9742235,100
72,4624901.541917294,100
73,4639180.305010131,100
74,4680022.627969321,100
75,4691436.291673455,100
76,4697354.822858775,100
77,4700939.729443733,100
78,4707424.472583914,100
79,4715810.269263366,100
80,4725557.52673658,100
81,4747532.908853399,100
82,4748179.661640972,100
83,4778757.912743262,100
84,4799441.640052155,100
85,4818029.660721509,100
86,4845251.788412432,100
87,4849563.704721589,100
88,4857418.795975689,100
89,4863161.830653454,100
90,4876195.941643031,100
91,4888146.210205616,100
92,4888230.76483159,100
93,4878907.0327842105,100
94,4878236.997103963,100
95,4872012.874765209,100
96,4867649.841527395,100
97,4864821.084280045,100
98,4869764.212078823,100
99,4872415.315350429,100
100,4878343.024768187,100
101,4896930.730848132,100
102,4899313.024849057,100
103,4904904.243333355,100
104,4913641.046879433,100
105,4913313.07456643,100
106,4919896.485075252,100
107,4920238.987960283,100
108,4919141.125467662,100
109,4917701.624318138,100
110,4913545.842353193,100
111,4953962.843505202,100
112,4953372.633207871,100
113,4955761.402339697,100
114,4949078.94667074,100
115,4956314.130092712,100
116,4969876.596615955,100
117,4957687.017265642,100
118,4956070.618523881,100
119,4960299.938042246,100
120,4971439.3362086,100
121,4968936.186758573,100
122,4976084.995689587,100
123,4974688.792767767,100
124,4986270.254121624,100
125,5009056.232372756,100
126,5010682.501728075,100
127,5008723.035838246,100
128,5010773.070753735,100
129,5011357.291287891,100
130,5011609.882730359,100
131,5010298.581391959,100
132,5013316.757247135,100
133,5013447.078119827,100
134,5020651.7871847795,100
135,5023052.953604281,100
136,5026185.335933829,100
137,5028654.920499035,100
138,5030452.685412645,100
139,4990255.449178586,100
140,4989253.893363712,100
141,4991394.344888547,100
142,4986512.419046801,100
143,4983705.651043031,100
144,4996071.648728203,100
145,4995949.366868487,100
146,4975845.352424296,100
147,4975952.382195,100
148,4957890.643193251,100
149,4959595.077386124,100
150,4971874.778925464,100
151,4970325.146032818,100
152,4972475.897887034,100
153,4960419.922697097,100
154,4960889.54062795,100
155,4958766.34895538,100
156,4958496.327510928,100
157,4956600.979708205,100
158,4956614.537578483,100
159,4952317.646944135,100
160,4967575.283123409,100
161,4967560.451023785,100
162,4967416.15382051,100
163,4967991.981015941,100
164,4984784.184624484,100
165,4997779.504800077,100
166,5000192.757474711,100
167,4995082.738250783,100
168,4994727.180128982,100
169,4992833.701089386,100
170,4995907.25539488,100
171,4986276.223336676,100
172,4986424.631490974,100
173,4982760.1694593895,100
174,4970011.719402662,100
175,4969059.098623709,100
176,4967793.449343068,100
177,4935698.497648971,100
178,4926964.77652611,100
179,4927339.026135979,100
180,4932161.810130572,100
181,4933097.89765097,100
182,4921172.391550268,100
183,4922990.677944028,100
184,4924139.1880721655,100
185,4920352.674422182,100
186,4911233.392831725,100
187,5001811.252688328,100
188,5005518.596868311,100
189,5002103.181987435,100
190,5005460.746615652,100
191,5007656.719279631,100
192,5004903.348814659,100
193,5001942.612310444,100
194,5003363.213976898,100
195,5001492.337523246,100
196,5000372.125123187,100
197,4998819.791163662,100
198,5012849.645865928,100
199,5019555.933562256,100
200,5018704.140791018,100
