gen,hypervolume,n_solutions
1,1785888.5463209962,100
2,1929180.8775010207,100
3,2057344.2338364772,100
4,2116121.023724109,100
5,2122834.7765315715,100
6,2135267.676000573,100
7,2183577.341348302,100
8,2206455.8331352035,100
9,2237503.287663803,100
10,2244772.9935237276,100
11,2262644.956455793,100
12,2285832.99167257,100
13,2292047.7627121713,100
14,2340367.343108041,100
15,2347910.2513781767,100
16,2374493.478903266,100
17,2375528.225576317,100
18,2387749.2350919824,100
19,2397427.9277010476,100
20,2409786.871625197,100
21,2412863.452952184,100
22,2426810.064025767,100
23,2434369.7933983,100
24,2442116.15501247,100
25,2449165.433700835,100
26,2476437.3565269313,100
27,2483132.3848222503,100
28,2525641.1907237293,100
29,2529471.8795392523,100
30,2561920.623037904,100
31,2560646.0519274944,100
32,2572354.0946967877,100
33,2588057.1607818683,100
34,2586647.779328009,100
35,2589163.3265409367,100
36,2617699.5925312024,100
37,2623641.925723373,100
38,2670112.4931419455,100
39,2666526.952448201,100
40,2666384.47971278,100
41,2673152.5427903063,100
42,2684027.3163156915,100
43,2703246.296667838,100
44,2710027.5828412273,100
45,2709945.709902809,100
46,2708276.9549416625,100
47,2722726.0681064976,100
48,2723671.902006203,100
49,2723213.242679172,100
50,2720830.163139415,100
51,2714516.3093343982,100
52,2717355.0279701645,100
53,2721018.997982813,100
54,2721467.826117875,100
55,2724318.289663692,100
56,2732551.7122815545,100
57,2734961.452455984,100
58,2733944.416994476,100
59,2742434.9675441245,100
60,2753176.1450546575,100
61,2753716.4888048167,100
62,2753405.836084631,100
63,2749392.4224015363,100
64,2758629.7535306225,100
65,2758939.050034494,100
66,2759416.0250080554,100
67,2764431.890631887,100
68,2766634.4765829374,100
69,2767993.905003871,100
70,2770383.179577987,100
71,2774549.544839437,100
72,2777502.896606204,100
73,2775500.9650050215,100
74,2770214.8456334574,100
75,2774558.2535375934,100
76,2812616.532078566,100
77,2805768.093058851,100
78,2808092.872455226,100
79,2808246.4266369953,100
80,2815931.104554011,100
81,2819785.828502378,100
82,2821637.0066415234,100
83,2824059.2169299605,100
84,2822889.3266920736,100
85,2818403.841260584,100
86,2854913.44964861,100
87,2853510.900746463,100
88,2857962.4358478477,100
89,2858908.53221191,100
90,2864138.0730034662,100
91,2867998.8981620795,100
92,2870604.6840786687,100
93,2876281.235583082,100
94,2878922.631288659,100
95,2878919.083265258,100
96,2880988.219943373,100
97,2897651.500700463,100
98,2897549.844344622,100
99,2896713.8968665604,100
100,2895007.0514702513,100
101,2899199.717634637,100
102,2906198.057647209,100
103,2905657.437776116,100
104,2905420.2620836445,100
105,2905895.286051763,100
106,2896565.2414724883,100
107,2916999.8216376454,100
108,2916861.234762892,100
109,2919309.513949241,100
110,2926917.704526484,100
111,2925015.952971278,100
112,2928003.5411494393,100
113,2928494.343059481,100
114,2933695.0131967664,100
115,2933667.9616290294,100
116,2933859.9793099356,100
117,2936182.01600498,100
118,2938582.593822491,100
119,2936856.6805247664,100
120,2938530.427383645,100
121,2943140.459445101,100
122,2943181.544305286,100
123,2949392.0942465393,100
124,2949404.591805188,100
125,2951416.859258803,100
126,2950282.2767800256,100
127,2952451.3764853613,100
128,2951007.148471296,100
129,2948396.757808534,100
130,2945531.1535303015,100
131,2945618.531305403,100
132,2942474.236387032,100
133,2951043.3256583065,100
134,2949991.287036246,100
135,2961857.4950583475,100
136,2960395.1262017456,100
137,2965805.777118095,100
138,2964387.4842052907,100
139,2976843.606535169,100
140,2997170.736817156,100
141,3004527.1414052974,100
142,3008421.3801223747,100
143,3007492.742530049,100
144,3007492.742530049,100
145,3022967.109958981,100
146,3022464.2595647755,100
147,3022311.6987301125,100
148,3040412.70860375,100
149,3041775.0289949384,100
150,3039140.7941179327,100
151,3041980.517232002,100
152,3058849.4290871215,100
153,3058855.6038724403,100
154,3066961.9959455454,100
155,3068240.695258576,100
156,3068144.894840781,100
157,3068309.8048502677,100
158,3074079.7380404137,100
159,3074572.5551837254,100
160,3074826.5105680167,100
161,3070355.391841266,100
162,3085683.744003839,100
163,3085958.599171421,100
164,3086262.41860872,100
165,3086210.4450063156,100
166,3087551.2832966014,100
167,3087012.9038721314,100
168,3091400.810530098,100
169,3092934.8330739,100
170,3092983.5813898677,100
171,3093058.76209764,100
172,3090778.6538023045,100
173,3089449.6939197765,100
174,3091335.696866918,100
175,3091356.813436671,100
176,3084843.4134386643,100
177,3096713.584129175,100
178,3092966.3056762675,100
179,3092764.940872101,100
180,3092761.124893703,100
181,3115329.0914034215,100
182,3115677.690919061,100
183,3116687.4294327702,100
184,3116687.4294327702,100
185,3116770.824062995,100
186,3117561.734895475,100
187,3118130.3551360224,100
188,3124192.470229993,100
189,3133800.3255467415,100
190,3133955.708305002,100
191,3136054.0241461108,100
192,3136549.026671831,100
193,3144686.453842487,100
194,3144881.5034866966,100
195,3144881.5034866966,100
196,3144622.376766668,100
197,3152095.0715141287,100
198,3152648.1796747013,100
199,3156064.127533932,100
200,3156261.709887906,100
