gen,hypervolume,n_solutions
1,1755563.946015523,100
2,1882659.9624825702,100
3,1955802.2298706947,100
4,1987699.1453551627,100
5,2046026.9905651333,100
6,2111875.514651446,100
7,2163784.7322562383,100
8,2182857.5850961003,100
9,2188120.9752577646,100
10,2221206.299255098,100
11,2287219.712957829,100
12,2292356.5205941657,100
13,2388489.0460887533,100
14,2445370.4392582504,100
15,2468209.294643628,100
16,2473224.99689974,100
17,2499487.92453189,100
18,2531540.5854639136,100
19,2538207.055981537,100
20,2545648.709883482,100
21,2562514.5044830083,100
22,2581799.539781904,100
23,2618510.584386794,100
24,2626485.103488089,100
25,2623133.585600236,100
26,2631183.9016770246,100
27,2651061.7170983185,100
28,2651563.365831726,100
29,2688243.6617948744,100
30,2687371.980366691,100
31,2682176.2715664674,100
32,2694934.0326409433,100
33,2723177.354023223,100
34,2728315.848139869,100
35,2741596.7790361145,100
36,2784212.9593271846,100
37,2800222.1134955673,100
38,2810742.4187245667,100
39,2822428.330084627,100
40,2825420.849759558,100
41,2826582.476144142,100
42,2841882.6594092534,100
43,2898468.967477963,100
44,2900563.814342766,100
45,2903809.7489188667,100
46,2901243.4953645533,100
47,2906978.694202164,100
48,2925073.512882529,100
49,2932326.7081157104,100
50,2934477.9929298414,100
51,2931139.1182760177,100
52,2925002.572138272,100
53,2919082.3135229866,100
54,2939125.858290623,100
55,2936241.509164971,100
56,2958980.9850463155,100
57,2959793.359651558,100
58,2968094.8528126874,100
59,2946819.1608135854,100
60,2944580.861487616,100
61,2952556.113786692,100
62,2959593.9583262512,100
63,2956359.002315645,100
64,2955380.8528129063,100
65,2966806.937309645,100
66,2989516.1906314692,100
67,3005254.122214026,100
68,3001508.941233536,100
69,3000747.692830505,100
70,3001902.7878074544,100
71,3002085.0452212756,100
72,3003535.4290705738,100
73,3003566.9006734528,100
74,3002340.769109482,100
75,3003683.1913785785,100
76,3000900.004968524,100
77,3007137.2391006155,100
78,2999092.0903372667,100
79,3020428.219044437,100
80,3027809.4098982722,100
81,3028896.031729078,100
82,3030455.7229006444,100
83,3040106.1690802127,100
84,3036900.7113375617,100
85,3042783.738348059,100
86,3042380.677493409,100
87,3047604.500294012,100
88,3038315.955746772,100
89,3029353.2442183224,100
90,3043358.6902139736,100
91,3051201.5987039916,100
92,3046893.992446604,100
93,3038271.249447711,100
94,3042306.5164403957,100
95,3035259.8055972187,100
96,3030078.575728506,100
97,3034058.2450686498,100
98,3015008.3130276166,100
99,3012163.8042796087,100
100,3003001.201445384,100
101,3003153.3501903894,100
102,3009818.7227174076,100
103,3014679.5908852285,100
104,3012512.888498393,100
105,3021989.5341209127,100
106,3018377.141055393,100
107,3021807.741207182,100
108,3020156.3467641263,100
109,3028090.1923667085,100
110,3033697.014820927,100
111,3029359.5053512547,100
112,3031939.4196676486,100
113,3030069.710303123,100
114,3007758.194929632,100
115,3046033.1533140186,100
116,3051487.0908075115,100
117,3056853.6295485077,100
118,3065790.928378216,100
119,3073606.538015037,100
120,3085787.520537068,100
121,3085787.520537068,100
122,3099431.0333714597,100
123,3101720.9835469085,100
124,3113839.486679732,100
125,3114470.761121289,100
126,3111912.7035216647,100
127,3116266.8721603435,100
128,3110174.6917719594,100
129,3089680.487860243,100
130,3096140.3675018474,100
131,3097209.1607884928,100
132,3120775.03508148,100
133,3130525.2970739817,100
134,3127269.3403867264,100
135,3130492.0275794114,100
136,3125124.515987151,100
137,3141856.2498196065,100
138,3140561.2124892566,100
139,3152715.569443241,100
140,3140263.2417815,100
141,3158937.8119230126,100
142,3151936.642594427,100
143,3157181.819121723,100
144,3169790.2542409976,100
145,3175178.3757052915,100
146,3184573.7019179137,100
147,3197708.8297399273,100
148,3199422.597096245,100
149,3190081.9681029217,100
150,3181943.2518149824,100
151,3181371.0190181173,100
152,3183146.3209285936,100
153,3181058.8170059375,100
154,3176932.807936169,100
155,3170906.1409963984,100
156,3177601.151538455,100
157,3178205.2366282768,100
158,3173466.4616837036,100
159,3170890.3898386275,100
160,3169571.3200576743,100
161,3156867.896087899,100
162,3166918.5102642262,100
163,3165802.8232391197,100
164,3172873.850769206,100
165,3166583.0364614083,100
166,3173716.0457037715,100
167,3155088.827868092,100
168,3157352.7396218576,100
169,3133970.8396791355,100
170,3147470.7294829357,100
171,3161272.1074732626,100
172,3182721.6048337016,100
173,3189595.873701933,100
174,3202101.3967511216,100
175,3208927.8462493313,100
176,3188209.455432885,100
177,3194984.604700736,100
178,3179617.4975182903,100
179,3191396.3749765507,100
180,3269139.7810498783,100
181,3260874.992307409,100
182,3269887.0910428213,100
183,3281258.7101640725,100
184,3308273.5395702724,100
185,3300703.251082625,100
186,3298577.374167297,100
187,3305627.5184241557,100
188,3311779.9290433694,100
189,3311652.7193257343,100
190,3312479.6522820108,100
191,3321250.992764281,100
192,3332481.6117970985,100
193,3343769.1327794143,100
194,3341201.4162016353,100
195,3339370.441962295,100
196,3343289.151376812,100
197,3345551.4518705974,100
198,3339749.330406995,100
199,3344823.4623849993,100
200,3337781.9592476767,100
