gen,hypervolume,n_solutions
1,1530857.603108547,100
2,1632502.5868414214,100
3,1752807.1092306462,100
4,1875555.8179074703,100
5,2039543.2848717594,100
6,2054851.6320240353,100
7,2101114.335822698,100
8,2144515.5421918426,100
9,2193798.9926688904,100
10,2282658.227744399,100
11,2292111.130647901,100
12,2308049.1875911383,100
13,2388144.1536234743,100
14,2414680.4176795627,100
15,2419211.212523455,100
16,2454370.5082267304,100
17,2478004.113340469,100
18,2499129.118579448,100
19,2502512.188895637,100
20,2502704.4320084625,100
21,2502435.5568002854,100
22,2508248.1520032054,100
23,2517770.800196805,100
24,2530229.3940297877,100
25,2530336.7608964313,100
26,2545531.58865578,100
27,2546722.962927212,100
28,2587305.0955781173,100
29,2618862.18805541,100
30,2620628.077059376,100
31,2631318.7071089796,100
32,2633653.171305214,100
33,2649187.857640532,100
34,2683135.8936740058,100
35,2683269.6712936126,100
36,2707270.8073420017,100
37,2722636.276717563,100
38,2706904.291803876,100
39,2699992.191832163,100
40,2709131.231148701,100
41,2713876.059829367,100
42,2720399.5200475776,100
43,2734718.479635911,100
44,2727541.022137963,100
45,2731459.852463392,100
46,2772503.751676746,100
47,2776658.6526681245,100
48,2781057.8400229705,100
49,2776768.851109162,100
50,2770391.4635632765,100
51,2771608.097514123,100
52,2827464.404909934,100
53,2828701.8117987807,100
54,2851704.2487119194,100
55,2849587.826281033,100
56,2866358.8813077295,100
57,2868764.2269488703,100
58,2913209.1785895647,100
59,2919545.8581768298,100
60,2935555.3763503907,100
61,2955815.6892165975,100
62,2928639.729470417,100
63,2942763.1005673134,100
64,2963309.540580986,100
65,2964779.563491944,100
66,2979643.176274932,100
67,2987577.5626915013,100
68,2987389.992380303,100
69,2988243.757083758,100
70,2994586.1353427377,100
71,3001942.5487239584,100
72,3002997.6725127706,100
73,3004537.52927664,100
74,3004759.689574506,100
75,3004297.2127426784,100
76,3006706.1982563464,100
77,3008381.321800161,100
78,3021756.2057445245,100
79,3022212.204898415,100
80,3022987.0626451164,100
81,3023073.1581202126,100
82,3021879.9786114874,100
83,3016922.959953228,100
84,3001282.8403200037,100
85,3006353.3780597355,100
86,3009383.7933132323,100
87,3010752.214299226,100
88,3015378.9668122446,100
89,3018942.4893054888,100
90,3018328.880431091,100
91,3016216.599341224,100
92,3020889.5129681025,100
93,3017087.9838706926,100
94,3016309.867449025,100
95,3050252.32671504,100
96,3050521.010849689,100
97,3062493.936600754,100
98,3075365.602716837,100
99,3075714.1179410266,100
100,3067288.132564467,100
101,3065691.8911814373,100
102,3061812.3468101416,100
103,3075316.7035667114,100
104,3078323.547918654,100
105,3071396.4356666654,100
106,3072411.8577184337,100
107,3080558.481610031,100
108,3085604.583423881,100
109,3095410.132121538,100
110,3104346.837888685,100
111,3102936.767511755,100
112,3102264.0684446036,100
113,3100447.0982687636,100
114,3098932.6912378618,100
115,3100755.6102671614,100
116,3105145.9427278214,100
117,3158926.299003557,100
118,3155234.04298724,100
119,3129554.968974847,100
120,3128990.1741676456,100
121,3137672.913778092,100
122,3129206.5769677702,100
123,3133694.247686755,100
124,3134117.635748153,100
125,3127466.93961199,100
126,3127127.966740176,100
127,3126019.3990888665,100
128,3121393.447221639,100
129,3123521.9473200142,100
130,3121381.5213133194,100
131,3124638.683098472,100
132,3133952.7529954915,100
133,3133642.0500788717,100
134,3127888.01803122,100
135,3137296.2462108247,100
136,3137856.1392030166,100
137,3145496.5025067944,100
138,3145051.0379611505,100
139,3158757.72679008,100
140,3157885.636837315,100
141,3202672.9399488796,100
142,3226017.0088068806,100
143,3227954.465076072,100
144,3229231.542232352,100
145,3231525.6289207414,100
146,3237096.9483138993,100
147,3239938.1931186304,100
148,3249257.659076556,100
149,3274065.6470340816,100
150,3274460.6232654927,100
151,3278836.912805585,100
152,3291588.727503241,100
153,3291294.7246175595,100
154,3288924.040913579,100
155,3294015.0639129984,100
156,3303010.6484157946,100
157,3302862.9987776643,100
158,3307586.4416025514,100
159,3309779.457901761,100
160,3303426.2500177324,100
161,3359179.8705958803,100
162,3361347.5040947907,100
163,3365868.8191923182,100
164,3365179.453072314,100
165,3362121.8212367687,100
166,3376687.6845380133,100
167,3379481.7632773835,100
168,3382975.5913833883,100
169,3387715.9256723975,100
170,3392914.5060720677,100
171,3390926.745402042,100
172,3392942.201292405,100
173,3400675.9753696527,100
174,3400915.245630076,100
175,3405318.6622783025,100
176,3404795.5925917164,100
177,3415812.4661020264,100
178,3416215.635153927,100
179,3416865.279901336,100
180,3401910.3130185334,100
181,3404937.9323609546,100
182,3411561.659153397,100
183,3411879.8566396264,100
184,3402549.0721532535,100
185,3401797.2475185515,100
186,3416109.8493269887,100
187,3426445.6553055225,100
188,3428419.215010683,100
189,3449138.3402434913,100
190,3451446.951116029,100
191,3447153.268452948,100
192,3456431.9066624176,100
193,3449462.0377612975,100
194,3461932.296319205,100
195,3446118.047460908,100
196,3449620.0314099304,100
197,3450119.524781213,100
198,3450213.622134586,100
199,3440018.179241972,100
200,3424788.000642578,100
